Deleted hdfs://10.0.3.87:54310/HiBench/Wordcount/Output-comp
Warning: $HADOOP_HOME is deprecated.

Warning: $HADOOP_HOME is deprecated.

14/11/18 18:18:11 INFO input.FileInputFormat: Total input paths to process : 32
14/11/18 18:18:11 INFO mapred.JobClient: Running job: job_201411021335_0015
14/11/18 18:18:12 INFO mapred.JobClient:  map 0% reduce 0%
14/11/18 18:57:55 INFO mapred.JobClient:  map 93% reduce 2%
14/11/18 18:58:16 INFO mapred.JobClient:  map 94% reduce 2%
14/11/18 18:58:34 INFO mapred.JobClient:  map 95% reduce 2%
14/11/18 18:58:46 INFO mapred.JobClient:  map 96% reduce 2%
14/11/18 18:59:05 INFO mapred.JobClient:  map 97% reduce 2%
14/11/18 18:59:23 INFO mapred.JobClient:  map 98% reduce 2%
14/11/18 18:59:38 INFO mapred.JobClient:  map 99% reduce 2%
14/11/18 19:00:02 INFO mapred.JobClient:  map 100% reduce 2%
14/11/18 19:00:11 INFO mapred.JobClient:  map 100% reduce 5%
14/11/18 19:00:14 INFO mapred.JobClient:  map 100% reduce 6%
14/11/18 19:00:17 INFO mapred.JobClient:  map 100% reduce 8%
14/11/18 19:00:23 INFO mapred.JobClient:  map 100% reduce 12%
14/11/18 19:00:26 INFO mapred.JobClient:  map 100% reduce 16%
14/11/18 19:00:32 INFO mapred.JobClient:  map 100% reduce 20%
14/11/18 19:00:35 INFO mapred.JobClient:  map 100% reduce 25%
14/11/18 19:00:44 INFO mapred.JobClient:  map 100% reduce 29%
14/11/18 19:00:47 INFO mapred.JobClient:  map 100% reduce 33%
14/11/18 19:00:53 INFO mapred.JobClient:  map 100% reduce 37%
14/11/18 19:00:56 INFO mapred.JobClient:  map 100% reduce 39%
14/11/18 19:00:59 INFO mapred.JobClient:  map 100% reduce 42%
14/11/18 19:01:02 INFO mapred.JobClient:  map 100% reduce 43%
14/11/18 19:01:08 INFO mapred.JobClient:  map 100% reduce 48%
14/11/18 19:01:11 INFO mapred.JobClient:  map 100% reduce 50%
14/11/18 19:01:17 INFO mapred.JobClient:  map 100% reduce 54%
14/11/18 19:01:20 INFO mapred.JobClient:  map 100% reduce 56%
14/11/18 19:01:23 INFO mapred.JobClient:  map 100% reduce 58%
14/11/18 19:01:26 INFO mapred.JobClient:  map 100% reduce 62%
14/11/18 19:01:29 INFO mapred.JobClient:  map 100% reduce 64%
14/11/18 19:01:32 INFO mapred.JobClient:  map 100% reduce 66%
14/11/18 19:01:38 INFO mapred.JobClient:  map 100% reduce 67%
14/11/18 19:01:41 INFO mapred.JobClient:  map 100% reduce 73%
14/11/18 19:01:44 INFO mapred.JobClient:  map 100% reduce 74%
14/11/18 19:01:50 INFO mapred.JobClient:  map 100% reduce 81%
14/11/18 19:01:56 INFO mapred.JobClient:  map 100% reduce 84%
14/11/18 19:02:02 INFO mapred.JobClient:  map 100% reduce 89%
14/11/18 19:02:05 INFO mapred.JobClient:  map 100% reduce 91%
14/11/18 19:02:11 INFO mapred.JobClient:  map 100% reduce 93%
14/11/18 19:02:14 INFO mapred.JobClient:  map 100% reduce 97%
14/11/18 19:02:20 INFO mapred.JobClient:  map 100% reduce 100%
14/11/18 19:02:25 INFO mapred.JobClient: Job complete: job_201411021335_0015
14/11/18 19:02:25 INFO mapred.JobClient: Counters: 29
14/11/18 19:02:25 INFO mapred.JobClient:   Job Counters 
14/11/18 19:02:25 INFO mapred.JobClient:     Launched reduce tasks=50
14/11/18 19:02:25 INFO mapred.JobClient:     SLOTS_MILLIS_MAPS=9524338
14/11/18 19:02:25 INFO mapred.JobClient:     Total time spent by all reduces waiting after reserving slots (ms)=0
14/11/18 19:02:25 INFO mapred.JobClient:     Total time spent by all maps waiting after reserving slots (ms)=0
14/11/18 19:02:25 INFO mapred.JobClient:     Launched map tasks=258
14/11/18 19:02:25 INFO mapred.JobClient:     Data-local map tasks=258
14/11/18 19:02:25 INFO mapred.JobClient:     SLOTS_MILLIS_REDUCES=9874257
14/11/18 19:02:25 INFO mapred.JobClient:   File Output Format Counters 
14/11/18 19:02:25 INFO mapred.JobClient:     Bytes Written=21370
14/11/18 19:02:25 INFO mapred.JobClient:   FileSystemCounters
14/11/18 19:02:25 INFO mapred.JobClient:     FILE_BYTES_READ=3942202870
14/11/18 19:02:25 INFO mapred.JobClient:     HDFS_BYTES_READ=16409420542
14/11/18 19:02:25 INFO mapred.JobClient:     FILE_BYTES_WRITTEN=696893198
14/11/18 19:02:25 INFO mapred.JobClient:     HDFS_BYTES_WRITTEN=21370
14/11/18 19:02:25 INFO mapred.JobClient:   File Input Format Counters 
14/11/18 19:02:25 INFO mapred.JobClient:     Bytes Read=16401856698
14/11/18 19:02:25 INFO mapred.JobClient:   Map-Reduce Framework
14/11/18 19:02:25 INFO mapred.JobClient:     Map output materialized bytes=4337408
14/11/18 19:02:25 INFO mapred.JobClient:     Map input records=97668112
14/11/18 19:02:25 INFO mapred.JobClient:     Reduce shuffle bytes=4324805
14/11/18 19:02:25 INFO mapred.JobClient:     Spilled Records=41028634
14/11/18 19:02:25 INFO mapred.JobClient:     Map output bytes=78006871706
14/11/18 19:02:25 INFO mapred.JobClient:     Total committed heap usage (bytes)=62897258496
14/11/18 19:02:25 INFO mapred.JobClient:     CPU time spent (ms)=16676040
14/11/18 19:02:25 INFO mapred.JobClient:     Combine input records=5343307903
14/11/18 19:02:25 INFO mapred.JobClient:     SPLIT_RAW_BYTES=32512
14/11/18 19:02:25 INFO mapred.JobClient:     Reduce input records=256000
14/11/18 19:02:25 INFO mapred.JobClient:     Reduce input groups=1000
14/11/18 19:02:25 INFO mapred.JobClient:     Combine output records=20706317
14/11/18 19:02:25 INFO mapred.JobClient:     Physical memory (bytes) snapshot=70230736896
14/11/18 19:02:25 INFO mapred.JobClient:     Reduce output records=1000
14/11/18 19:02:25 INFO mapred.JobClient:     Virtual memory (bytes) snapshot=264643497984
14/11/18 19:02:25 INFO mapred.JobClient:     Map output records=5322857586

